filepath,artist,album,title,length,tracktype,state,failurereason,state_description,failure_description
,Denham Audio,,Thirty Eight Snub (ft Trim) [Club Glow],347,0,2,3,Failed,NoSuitableFileFound
./Devilfish - Techwise & Otherwise - 10 - Manalive.mp3,Devilfish,,Manalive,365,0,1,0,Downloaded,None
./04-dudmode__vardae--xddmy-6f23bb4a.mp3,DudMode,,XDDMY,359,0,1,0,Downloaded,None
./03 Searching.mp3,Dylan Forbes,,Searching,395,0,1,0,Downloaded,None
./01 DJ Ralph - Fat Bass.mp3,Dj Ralph,,Fat Bass,258,0,1,0,Downloaded,None
./08 The Midas Touch (Hell Interface Remix).mp3,sleep,,The Midas Touch (Hell Interface remix),288,0,1,0,Downloaded,None
./11 - Toy.mp3,Young Fathers,,Toy,195,0,1,0,Downloaded,None
./(Db) Roni Size - Bite The Bullet.aac,Roni Size,,Bite The Bullet,451,0,1,0,Downloaded,None
./(Dubstep-N) Ramadanman - Don't Change For Me - Hessle Audio -.mp3,Ramadanman,,Don't Change for Me,334,0,1,0,Downloaded,None
,The Martian,,"Sex In Zero Gravity [Unedited RAW ""Vinyl-2-Digital"" Conversion @ 45 RPM]",429,0,2,3,Failed,NoSuitableFileFound
./01 - 'ave that.mp3,Radioactive Man,,ave That,382,0,1,0,Downloaded,None
./M-High - Longing (Original Mix) - www.djsoundtop.com.mp3,M-High,,Longing,390,0,1,0,Downloaded,None
./Jay La Forge & Rosario Gennaro - Fun 2 Nite 2004.mp3,Jay La Forge & Rosario Gennaro,,fun 2 nite,450,0,1,0,Downloaded,None
